 y  width weight color spine
 1   28.3  3.050     2     3
 0   22.5  1.550     3     3
 1   26.0  2.300     1     1
 0   24.8  2.100     3     3
 1   26.0  2.600     3     3
 0   23.8  2.100     2     3
 0   26.5  2.350     1     1
 0   24.7  1.900     3     2
 0   23.7  1.950     2     1
 0   25.6  2.150     3     3
 0   24.3  2.150     3     3
 0   25.8  2.650     2     3
 1   28.2  3.050     2     3
 0   21.0  1.850     4     2
 1   26.0  2.300     2     1
 1   27.1  2.950     1     1
 1   25.2  2.000     2     3
 1   29.0  3.000     2     3
 0   24.7  2.200     4     3
 1   27.4  2.700     2     3
 1   23.2  1.950     2     2
 1   25.0  2.300     1     2
 1   22.5  1.600     2     1
 1   26.7  2.600     3     3
 1   25.8  2.000     4     3
 0   26.2  1.300     4     3
 1   28.7  3.150     2     3
 1   26.8  2.700     2     1
 0   27.5  2.600     4     3
 0   24.9  2.100     2     3
 1   29.3  3.200     1     1
 0   25.8  2.600     1     3
 0   25.7  2.000     2     2
 1   25.7  2.000     2     1
 1   26.7  2.700     2     1
 0   23.7  1.850     4     3
 0   26.8  2.650     2     3
 1   27.5  3.150     2     3
 0   23.4  1.900     4     3
 1   27.9  2.800     2     3
 1   27.5  3.100     3     3
 1   26.1  2.800     1     1
 1   27.7  2.500     1     1
 1   30.0  3.300     2     1
 1   28.5  3.250     3     1
 1   28.9  2.800     3     3
 1   28.2  2.600     2     3
 1   25.0  2.100     2     3
 1   28.5  3.000     2     3
 1   30.3  3.600     2     1
 1   24.7  2.100     4     3
 1   27.7  2.900     2     3
 1   27.4  2.700     1     1
 1   22.9  1.600     2     3
 1   25.7  2.000     2     1
 1   28.3  3.000     2     3
 1   27.2  2.700     2     3
 1   26.2  2.300     3     3
 0   27.8  2.750     2     1
 0   25.5  2.250     4     3
 0   27.1  2.550     3     3
 1   24.5  2.050     3     3
 1   27.0  2.450     3     1
 1   26.0  2.150     2     3
 1   28.0  2.800     2     3
 1   30.0  3.050     2     3
 1   29.0  3.200     2     3
 0   26.2  2.400     2     3
 0   26.5  1.300     2     1
 1   26.2  2.400     2     3
 1   25.6  2.800     3     3
 1   23.0  1.650     3     3
 0   23.0  1.800     3     3
 1   25.4  2.250     2     3
 0   24.2  1.900     3     3
 0   22.9  1.600     2     2
 1   26.0  2.200     3     2
 1   25.4  2.250     2     3
 0   25.7  1.200     3     3
 1   25.1  2.100     2     3
 0   24.5  2.250     3     2
 0   27.5  2.900     4     3
 0   23.1  1.650     3     3
 1   25.9  2.550     3     1
 0   25.8  2.300     2     3
 1   27.0  2.250     4     3
 0   28.5  3.050     2     3
 0   25.5  2.750     4     1
 0   23.5  1.900     4     3
 0   24.0  1.700     2     2
 1   29.7  3.850     2     1
 0   26.8  2.550     2     1
 0   26.7  2.450     4     3
 0   28.7  3.200     2     1
 0   23.1  1.550     3     3
 1   29.0  2.800     2     1
 0   25.5  2.250     3     3
 1   26.5  1.967     3     3
 1   24.5  2.200     3     3
 1   28.5  3.000     3     3
 1   28.2  2.867     2     3
 1   24.5  1.600     2     3
 1   27.5  2.550     2     3
 1   24.7  2.550     2     2
 1   25.2  2.000     2     1
 1   27.3  2.900     3     3
 1   26.3  2.400     2     3
 1   29.0  3.100     2     3
 1   25.3  1.900     2     3
 1   26.5  2.300     2     3
 1   27.8  3.250     2     3
 1   27.0  2.500     2     3
 0   25.7  2.100     3     3
 1   25.0  2.100     2     3
 1   31.9  3.325     2     3
 0   23.7  1.800     4     3
 1   29.3  3.225     4     3
 0   22.0  1.400     3     3
 1   25.0  2.400     2     3
 1   27.0  2.500     3     3
 1   23.8  1.800     3     3
 1   30.2  3.275     1     1
 0   26.2  2.225     3     3
 1   24.2  1.650     2     3
 1   27.4  2.900     2     3
 0   25.4  2.300     2     2
 1   28.4  3.200     3     3
 1   22.5  1.475     4     3
 1   26.2  2.025     2     3
 1   24.9  2.300     2     1
 1   24.5  1.950     1     2
 0   25.1  1.800     2     3
 1   28.0  2.900     2     1
 1   25.8  2.250     4     3
 1   27.9  3.050     2     3
 0   24.9  2.200     2     3
 1   28.4  3.100     2     1
 1   27.2  2.400     3     3
 1   25.0  2.250     2     2
 1   27.5  2.625     2     3
 1   33.5  5.200     2     1
 1   30.5  3.325     2     3
 1   29.0  2.925     3     3
 0   24.3  2.000     2     1
 0   25.8  2.400     2     3
 1   25.0  2.100     4     3
 1   31.7  3.725     2     1
 1   29.5  3.025     2     3
 1   24.0  1.900     3     3
 1   30.0  3.000     2     3
 1   27.6  2.850     2     3
 0   26.2  2.300     2     3
 0   23.1  2.000     2     1
 0   22.9  1.600     2     1
 0   24.5  1.900     4     3
 1   24.7  1.950     2     3
 0   28.3  3.200     2     3
 1   23.9  1.850     2     3
 0   23.8  1.800     3     3
 1   29.8  3.500     3     2
 1   26.5  2.350     2     3
 1   26.0  2.275     2     3
 1   28.2  3.050     2     3
 0   25.7  2.150     4     3
 1   26.5  2.750     2     3
 0   25.8  2.200     2     3
 0   24.1  1.800     3     3
 1   26.2  2.175     3     3
 1   26.1  2.750     3     3
 1   29.0  3.275     3     3
 0   28.0  2.625     1     1
 0   27.0  2.625     4     3
 0   24.5  2.000     2     2
