  AMCW  FCW Fcolor Fsurf
 18.10 20.2      1     1
 13.50 23.0      1     3
 16.70 22.6      5     5
 16.00 20.8      5     5
 15.30 23.3      3     4
 16.20 22.9      5     3
 15.10 21.1      1     3
 17.40 21.1      1     4
 15.10 19.8      1     4
 15.20 24.1      1     4
 16.60 20.5      3     3
 16.60 21.3      3     3
 17.20 21.9      1     3
 16.20 24.9      3     2
 17.30 23.0      3     2
 18.00 23.6      5     5
 16.20 22.5      3     5
 15.00 22.6      3     4
 15.20 25.8      5     4
 15.20 22.1      3     3
 17.00 20.3      3     3
 17.50 23.5      1     1
 16.90 23.0      3     2
 15.40 21.4      3     2
 16.50 24.0      1     4
 17.60 20.6      1     4
 13.30 21.1      5     3
 15.50 24.2      5     3
 16.90 20.8      5     3
 17.10 22.0      5     3
 16.20 23.5      1     4
 16.50 22.9      5     5
 17.20 21.3      5     2
 14.90 25.5      5     3
 16.00 22.8      5     3
 14.60 21.7      5     4
 18.00 24.5      5     4
 15.10 21.0      5     3
 17.30 23.6      3     5
 16.90 20.4      5     3
 16.30 23.0      5     3
 13.60 22.8      1     3
 15.70 22.4      3     2
 16.00 25.6      3     3
 15.50 23.3      3     3
 16.50 25.4      3     3
 16.80 23.6      5     3
 16.80 20.5      3     3
 13.80 21.4      5     5
 16.00 23.4      5     5
 16.10 20.9      5     5
 18.00 20.9      5     5
 16.50 21.4      5     5
 16.90 22.4      5     5
 15.80 20.2      5     3
 16.70 21.2      3     4
 14.90 21.6      5     3
 15.90 20.0      5     3
 16.20 22.0      5     4
 16.30 21.4      5     4
 13.80 21.2      3     4
 16.00 21.9      3     4
 13.80 21.1      5     3
 15.70 22.4      5     4
 15.50 23.7      1     1
 15.50 25.5      1     1
 16.50 22.0      1     1
 13.80 22.1      1     3
 17.30 21.8      3     1
 15.80 19.6      3     2
 16.90 21.7      1     4
 15.00 25.3      3     3
 16.20 17.6      3     3
 17.60 20.6      3     3
 16.80 23.1      1     1
 14.90 23.4      1     2
 14.90 23.0      1     2
 15.90 24.0      1     2
 16.30 21.3      1     2
 15.80 24.0      1     2
 15.60 21.8      3     1
 14.20 21.1      1     3
 17.20 20.2      3     1
 15.00 21.7      1     4
 14.20 19.6      3     2
 15.50 17.9      3     2
 16.50 22.9      3     2
 16.90 21.6      3     2
 17.10 21.7      1     4
 16.60 20.1      3     3
 15.10 22.6      3     3
 14.80 23.7      3     3
 14.50 20.6      3     3
 14.80 20.5      3     3
 16.00 23.5      3     3
 15.30 23.7      3     3
 15.30 22.9      3     3
 15.30 20.5      3     3
 15.00 17.6      3     3
 16.30 20.3      3     3
 16.20 21.4      3     3
 15.60 23.8      3     3
 14.90 20.0      3     3
 16.10 20.5      3     3
 15.00 20.6      3     3
 14.60 20.6      3     3
 14.60 22.3      3     3
 16.20 23.7      3     3
 16.90 20.6      3     3
 17.60 18.8      3     3
 15.70 24.0      1     2
 16.30 21.1      1     3
 17.10 21.6      3     2
 14.90 20.6      3     3
 15.10 25.0      3     3
 15.50 20.5      3     3
 15.00 20.7      3     3
 15.90 20.2      3     3
 17.00 20.5      3     3
 16.41 23.9      3     3
 19.20 23.4      5     5
 15.80 22.0      3     4
 16.60 21.3      5     3
 15.70 22.9      1     2
 13.80 25.3      3     3
 16.50 19.4      3     3
 15.40 23.7      1     1
 15.80 23.7      1     1
 17.80 22.9      1     1
 16.50 21.8      3     1
 15.80 22.5      3     3
 14.90 22.9      5     5
 14.50 19.5      5     5
 14.00 22.0      5     5
 16.40 22.0      5     5
 16.50 20.0      5     5
 17.00 21.0      5     5
 14.60 21.5      3     4
 16.00 24.1      3     4
 13.80 21.2      5     3
 16.00 21.0      5     3
 16.20 26.3      5     3
 16.40 22.1      5     3
 16.80 24.4      5     3
 16.50 24.5      5     3
 17.60 20.8      5     3
 15.00 21.8      5     4
 16.50 22.6      5     4
 16.10 20.0      5     4
 15.40 22.5      5     4
 15.30 20.7      5     4
 15.70 20.5      5     4
 15.60 19.4      5     4
 16.80 23.7      5     4
 16.50 19.5      5     4
 17.70 23.2      5     4
 16.80 24.4      5     4
 15.70 19.7      5     4
 14.80 22.5      1     1
 14.50 21.5      1     2
 16.20 21.5      1     2
 17.40 23.5      1     2
 14.30 22.5      1     3
 16.70 22.0      1     3
 16.80 20.0      1     3
 14.10 21.8      3     3
 18.60 23.4      1     5
 18.00 21.9      5     5
 15.40 20.8      5     5
 15.30 22.2      5     5
 14.80 21.3      5     5
 16.10 20.0      5     5
 16.70 21.5      5     5
 16.60 23.7      5     5
 16.60 23.5      5     5
 16.40 23.8      5     5
 16.50 24.0      5     5
 17.20 20.7      5     5
 16.40 21.0      5     5
 18.30 22.8      5     5
 18.00 24.0      5     5
 16.20 23.2      5     5
 15.50 22.2      5     5
 15.50 22.8      5     5
 16.90 25.0      5     5
 15.20 21.8      5     5
 16.30 20.1      5     5
 16.40 21.8      5     5
 15.90 23.2      5     5
 16.90 23.2      5     5
 15.80 23.5      5     5
 16.40 22.0      5     5
 18.20 25.5      5     5
 13.80 20.4      3     4
 15.40 24.4      5     2
 16.10 22.9      3     4
 16.30 22.2      3     4
 16.20 20.4      3     4
 14.80 20.6      5     3
 15.10 21.2      5     3
 15.00 17.4      5     3
 13.50 23.5      5     3
 15.40 19.8      5     3
 14.30 20.0      5     3
 15.30 23.8      3     5
 15.70 21.9      5     3
 15.40 22.0      5     3
 16.20 23.7      3     5
 15.40 23.5      5     3
 15.00 20.5      5     3
 16.70 22.3      5     3
 15.90 23.2      5     3
 16.20 22.8      5     3
 14.60 23.0      5     3
 16.00 21.1      5     3
 16.60 22.3      5     3
 16.00 25.4      5     3
 16.90 25.0      5     3
 16.90 24.2      5     3
 18.20 23.5      5     3
 16.80 24.4      5     3
 20.20 25.3      5     3
 13.60 21.5      5     4
 14.40 21.5      5     4
 14.20 21.0      5     4
 14.60 23.3      5     4
 15.70 19.0      5     4
 16.00 21.0      5     4
 14.80 20.6      5     4
 14.90 23.2      5     4
 16.30 24.5      5     4
 15.50 20.5      5     4
 15.80 22.8      5     4
 15.70 24.6      5     4
 15.50 23.2      5     4
