Income   Number sampled   Number with credit card
  24          1                    0  
  34          7                    1  
  48          1                    0  
  70          5                    3  
  27          1                    0  
  35          1                    1  
  49          1                    0  
  79          1                    0  
  28          5                    2  
  38          3                    1  
  50         10                    2  
  80          1                    0 
  29          3                    0  
  39          2                    0  
  52          1                    0  
  84          1                    0  
  30          9                    1  
  40          5                    0  
  59          1                    0  
  94          1                    0 
  31          5                    1  
  41          2                    0  
  60          5                    2  
 120          6                    6  
  32          8                    0  
  42          2                    0  
  65          6                    6  
 130          1                    1 
  33          1                    0  
  45          1                    1  
  68          3                    3  

