 school   teacher    student       ses      test    score
   10       10664       271         0      qual       50
   10       10664       271         0      quan       31
   10       10664       272         0      qual       53
   10       10664       272         0      quan       25
   10       10664       273         0      qual       46
   10       10664       273         0      quan       41
   10       10664       274         0      qual       63
   10       10664       274         0      quan       31
   10       10664       275         1      qual       80
   10       10664       275         1      quan       47
   10       10664       276         0      qual       42
   10       10664       276         0      quan       24
   10       10664       278         0      qual       21
   10       10664       278         0      quan       39
   10       10664       279         0      qual       22
   10       10664       279         0      quan       26
   10       10664       280         1      qual       54
   10       10664       280         1      quan       33
   10       10664       281         1      qual       59
   10       10664       281         1      quan       38
   10       10664       282         0      qual       24
   10       10664       282         0      quan       31
   10       10664       284         1      qual       59
   10       10664       284         1      quan       40
   10       10664       285         1      qual       41
   10       10664       285         1      quan       36
   10       10665       286         0      qual       54
   10       10665       286         0      quan       42
   10       10665       287         0      qual       28
   10       10665       287         0      quan       27
   10       10665       288         1      qual       54
   10       10665       288         1      quan       18
   10       10665       289         0      qual       31
   10       10665       289         0      quan       27
   10       10665       290         0      qual       10
   10       10665       290         0      quan       33
   10       10665       291         1      qual       48
   10       10665       291         1      quan       26
   10       10665       292         1      qual       52
   10       10665       292         1      quan       29
   10       10665       294         0      qual       45
   10       10665       294         0      quan       23
   10       10665       295         0      qual       48
   10       10665       295         0      quan       25
   10       10665       296         0      qual       40
   10       10665       296         0      quan       21
   10       10665       297         0      qual       23
   10       10665       297         0      quan       25
   10       10665       298         0      qual       23
   10       10665       298         0      quan       33
   10       10665       300         0      qual       63
   10       10665       300         0      quan       35
   10       10665       301         0      qual       38
   10       10665       301         0      quan       24
   10       10665       302         1      qual       47
   10       10665       302         1      quan       47
   10       10667       303         0      qual       29
   10       10667       303         0      quan       24
   10       10667       304         1      qual       36
   10       10667       304         1      quan       30
   10       10667       305         0      qual       34
   10       10667       305         0      quan        9
   10       10667       306         0      qual       24
   10       10667       306         0      quan       38
   10       10667       307         0      qual       38
   10       10667       307         0      quan       43
   10       10667       308         0      qual       45
   10       10667       308         0      quan       27
   10       10667       309         0      qual       33
   10       10667       309         0      quan       21
   10       10667       310         0      qual       45
   10       10667       310         0      quan       40
   10       10667       311         0      qual       34
   10       10667       311         0      quan       32
   10       10667       312         0      qual       35
   10       10667       312         0      quan       24
   10       10667       313         1      qual       52
   10       10667       313         1      quan       45
   10       10667       314         1      qual       50
   10       10667       314         1      quan       27
   10       10667       315         1      qual       36
   10       10667       315         1      quan       18
   10       10667       316         0      qual       38
   10       10667       316         0      quan       44
   10       10667       317         1      qual       48
   10       10667       317         1      quan       41
   10       10667       318         0      qual       -8
   10       10667       318         0      quan       -9
   10       10667       319         1      qual       63
   10       10667       319         1      quan       29
   10       10668       320         0      qual       36
   10       10668       320         0      quan       25
   10       10668       321         0      qual       36
   10       10668       321         0      quan       13
   10       10668       322         0      qual       35
   10       10668       322         0      quan       20
   10       10668       323         0      qual       46
   10       10668       323         0      quan       19
   10       10668       324         1      qual       52
   10       10668       324         1      quan       42
   10       10668       325         0      qual       12
   10       10668       325         0      quan       19
   10       10668       326         1      qual       56
   10       10668       326         1      quan       30
   10       10668       328         1      qual       42
   10       10668       328         1      quan       45
   10       10668       329         0      qual       40
   10       10668       329         0      quan       45
