Percentages voting for Obama in 2008 and 2012, and sample poll data of
ny of n people sampled in the state who preferred Obama

state pi2008  pi2012   n       ny
   AK  0.379  0.408    5        1 
   AL  0.387  0.384   32       17 
   AR  0.389  0.369   17        8 
   AZ  0.449  0.444   35       18 
   CA  0.609  0.603  207      135 
   CO  0.537  0.515   37       18 
   CT  0.606  0.581   25       16 
   DC  0.925  0.836    4        3 
   DE  0.619  0.586    6        3 
   FL  0.509  0.499  128       55 
   GA  0.469  0.455   60       31 
   HI  0.718  0.706    7        5 
   IA  0.539  0.520   23       13 
   ID  0.359  0.324   10        3 
   IL  0.618  0.576   84       51 
   IN  0.498  0.439   42       26 
   KS  0.415  0.380   19        5 
   KY  0.412  0.378   28        9 
   LA  0.399  0.406   30        8 
   MA  0.618  0.606   47       30 
   MD  0.619  0.620   40       26 
   ME  0.577  0.563   11        6 
   MI  0.573  0.541   75       46 
   MN  0.541  0.526   44       25 
   MO  0.492  0.444   45       15 
   MS  0.430  0.438   20        8 
   MT  0.471  0.417    7        5 
   NC  0.497  0.483   66       19 
   ND  0.445  0.387    5        1 
   NE  0.416  0.379   12        7 
   NH  0.541  0.520   11        6 
   NJ  0.571  0.582   59       35 
   NM  0.569  0.529   13        6 
   NV  0.552  0.524   15        4 
   NY  0.629  0.626  114       76 
   OH  0.514  0.507   87       39 
   OK  0.344  0.332   22        9 
   OR  0.568  0.542   28       13 
   PA  0.545  0.520   92       53 
   RI  0.629  0.627    7        3 
   SC  0.449  0.441   29       13 
   SD  0.448  0.399    6        1 
   TN  0.418  0.391   40       19 
   TX  0.436  0.414  123       47 
   UT  0.342  0.247   15        4 
   VA  0.526  0.512   57       29 
   VT  0.675  0.666    5        1 
   WA  0.573  0.562   46       24 
   WI  0.562  0.528   45       27 
   WV  0.425  0.355   11        5 
   WY  0.325  0.278    4        2 
