case       taxes  beds  baths  new         price     size 
1          3104     4   2        0          279.900    2048      
2          1173     2   1        0          146.500     912 
3          3076     4   2        0          237.700    1654 
4          1608     3   2        0          200.000    2068 
5          1454     3   3        0          159.900    1477 
6          2997     3   2        1          499.900    3153 
7          4054     3   2        0          265.500    1355 
8          3002     3   2        1          289.900    2075 
9          6627     5   4        0          587.000    3990 
10         320      3  	2        0          70.000     1160         
11         630      3  	2        0          64.500     1220         
12         1780     3  	2        0          167.000    1690     
13         1630     3  	2        0          114.600    1380     
14         1530     3  	2        0          103.000    1590     
15         930      3  	1        0          101.000    1050     
16         590      2  	1        0          70.000      770         
17         1050     3  	2        0          85.000     1410         
18         20       3  	1        0          22.500     1060         
19         870      2  	2        0          90.000     1300         
20         1320     3  	2        0          133.000    1500     
21         1350     2  	1        0          90.500      820         
22         5616     4   3        1          577.500    3949 
23         680      2  	1        0          142.500    1170     
24         1840     3  	2        0          160.000    1500     
25         3680     4  	2        0          240.000    2790     
26         1660     3  	1        0          87.000     1030         
27         1620     3  	2        0          118.600    1250     
28         3100     3  	2        0          140.000    1760     
29         2070     2  	3        0          148.000    1550     
30         830      3  	2        0          69.000     1120      
31         2260     4  	2        0          176.000    2000     
32         1760     3  	1        0          86.500     1350         
33         2750     3  	2        1          180.000    1840     
34         2020     4  	2        0          179.000    2510     
35         4900     3  	3        1          338.000    3110     
36         1180     4  	2        0          130.000    1760     
37         2150     3  	2        0          163.000    1710     
38         1600     2  	1        0          125.000    1110     
39         1970     3  	2        0          100.000    1360     
40         2060     3  	1        0          100.000    1250     
41         1980     3  	1        0          100.000    1250     
42         1510     3  	2        0          146.500    1480     
43         1710     3  	2        0          144.900    1520     
44         1590     3  	2        0          183.000    2020     
45         1230     3  	2        0          69.900     1010      
46         1510     2  	2        0          60.000     1640         
47         1450     2  	2        0          127.000     940      
48         970      3  	2        0          86.000     1580         
49         150      2  	2        0          50.000      860       
50         1470     3  	2        0          137.000    1420 
51         1850     3  	2        0          121.300    1270 
52         820      2  	1        0          81.000      980         
53         2050     4  	2        0          188.000    2300     
54         710      3  	2        0          85.000     1430         
55         1280     3  	2        0          137.000    1380     
56         1360     3   2        0          145.000    1240 
57          830     3   2        0           69.000    1120 
58         800      3  	2        0          109.300    1120 
59         1220     3  	2        0          131.500    1900 
60         3360     4  	3        0          200.000    2430     
61         210      3  	2        0          81.900     1080         
62         380      2  	1        0          91.200     1350         
63         1920     4  	3        0          124.500    1720     
64         4350     3  	3        0          225.000    4050     
65         1510     3  	2        0          136.500    1500 
66         4154     3   3        0          381.000    2581 
67         1976     3   2        1          250.000    2120 
68         3605     3   3        1          354.900    2745 
69         1400     3  	2        0          140.000    1520     
70         790      2  	2        0          89.900     1280         
71         1210     3  	2        0          137.000    1620     
72         1550     3  	2        0          103.000    1520     
73         2800     3  	2        0          183.000    2030     
74         2560     3  	2        0          140.000    1390     
75         1390     4  	2        0          160.000    1880     
76         5443     3   2        0          434.000    2891 
77         2850     2  	1        0          130.000    1340     
78         2230     2  	2        0          123.000     940      
79         20       2  	1        0          21.000      580         
80         1510     4  	2        0          85.000     1410         
81         710      3  	2        0          69.900     1150         
82         1540     3  	2        0          125.000    1380     
83         1780     3  	2        1          162.600    1470     
84         2920     2  	2        1          156.900    1590     
85         1710     3  	2        1          105.900    1200     
86         1880     3  	2        0          167.500    1920     
87         1680     3  	2        0          151.800    2150     
88         3690     5  	3        0          118.300    2200     
89         900      2  	2        0          94.300      860         
90         560      3  	1        0          93.900     1230         
91         2040     4  	2        0          165.000    1140     
92         4390     4  	3        1          285.000    2650     
93         690      3  	1        0          45.000     1060         
94         2100     3  	2        0          124.900    1770     
95         2880     4  	2        0          147.000    1860     
96         990      2  	2        0          176.000    1060     
97         3030     3  	2        0          196.500    1730     
98         1580     3  	2        0          132.200    1370     
99         1770     3  	2        0          88.400     1560         
100        1430     3  	2        0          127.200    1340     
