

   species   clutch   trt   jar   hatch   age  
     Amac      201     A   201      0     1  
     Amac      201     A   201      0     1  
     Amac      201     A   201      0     1  
     Amac      201     A   201      0     1  
     Amac      201     A   201      0     1  
     Amac      201     A   201      0     1  
     Amac      201     A   201      0     1  
     Amac      201     A   201      0     1  
     Amac      201     A   201      0     1  
     Amac      201     A   201      0     1  
     Amac      201     A   201      0     1  
     Amac      201     A   201      0     2  
     Amac      201     A   201      0     2  
     Amac      201     A   201      0     2  
     Amac      201     A   201      0     2  
     Amac      201     A   201      0     2  
     Amac      201     A   201      0     2  
     Amac      201     A   201      0     2  
     Amac      201     A   201      0     2  
     Amac      201     A   201      0     2  
     Amac      201     A   201      0     3  
     Amac      201     A   201      0     4  
     Amac      201     A   201      0     4  
     Amac      201     A   201      0     7  
     Amac      201     A   201      1    16  
     Amac      201     A   201      0    17  
     Amac      201     S   202      0     1  
     Amac      201     S   202      0     1  
     Amac      201     S   202      0     1  
     Amac      201     S   202      0     1  
     Amac      201     S   202      0     1  
     Amac      201     S   202      0     1  
     Amac      201     S   202      0     1  
     Amac      201     S   202      0     1  
     Amac      201     S   202      0     1  
     Amac      201     S   202      0     2  
     Amac      201     S   202      0     2  
     Amac      201     S   202      0     2  
     Amac      201     S   202      0     2  
     Amac      201     S   202      0     2  
     Amac      201     S   202      1    13  
     Amac      201     S   202      1    15  
     Amac      201     S   202      1    17  
     Amac      201     S   202      1    17  
     Amac      201     S   202      1    17  
     Amac      201     S   202      1    17  
     Amac      201     S   202      1    17  
     Amac      201     S   202      1    18  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     1  
     Amac      202     A   203      0     2  
     Amac      202     A   203      0     2  
     Amac      202     A   203      0     2  
     Amac      202     A   203      0     2  
     Amac      202     A   203      0     2  
     Amac      202     A   203      0     2  
     Amac      202     A   203      0     2  
     Amac      202     S   204      0     1  
     Amac      202     S   204      0     1  
     Amac      202     S   204      0     1  
     Amac      202     S   204      0     1  
     Amac      202     S   204      0     1  
     Amac      202     S   204      0     1  
