

   species   clutch   trt   jar   hatch   age  
     Aopa        1     A     1      0    24  
     Aopa        1     A     1      1    29  
     Aopa        1     A     1      1    31  
     Aopa        1     A     1      1    41  
     Aopa        1     A     1      1    41  
     Aopa        1     A     1      1    41  
     Aopa        1     A     1      1    41  
     Aopa        1     A     1      1    41  
     Aopa        1     A     1      1    41  
     Aopa        1     A     1      1    41  
     Aopa        1     A     1      1    41  
     Aopa        1     A     1      1    41  
     Aopa        1     A     1      0    42  
     Aopa        1     A     1      0    42  
     Aopa        1     A     1      0    42  
     Aopa        1     A     1      1    42  
     Aopa        1     A     1      1    42  
     Aopa        1     A     1      1    42  
     Aopa        1     A     1      1    42  
     Aopa        1     A     1      1    42  
     Aopa        1     L     3      1    25  
     Aopa        1     L     3      1    25  
     Aopa        1     L     3      1    25  
     Aopa        1     L     3      1    25  
     Aopa        1     L     3      1    25  
     Aopa        1     L     3      1    26  
     Aopa        1     L     3      1    26  
     Aopa        1     L     3      1    26  
     Aopa        1     L     3      1    26  
     Aopa        1     L     3      1    26  
     Aopa        1     L     3      1    27  
     Aopa        1     L     3      1    27  
     Aopa        1     L     3      1    27  
     Aopa        1     L     3      1    27  
     Aopa        1     L     3      1    28  
     Aopa        1     L     3      1    28  
     Aopa        1     L     3      1    28  
     Aopa        1     L     3      1    28  
     Aopa        1     L     3      1    28  
     Aopa        1     L     3      1    28  
     Aopa        1     L     3      1    29  
     Aopa        1     L     3      1    31  
     Aopa        1     L     3      1    31  
     Aopa        1     L     3      1    31  
     Aopa        1     M     4      1    20  
     Aopa        1     M     4      1    22  
     Aopa        1     M     4      1    22  
     Aopa        1     M     4      1    22  
     Aopa        1     M     4      1    24  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    29  
     Aopa        1     M     4      1    30  
     Aopa        1     M     4      1    30  
     Aopa        1     M     4      1    30  
     Aopa        1     M     4      0    30  
     Aopa        1     M     4      0    30  
     Aopa        1     M     4      0    41  
     Aopa        1     S     5      0     8  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    43  
     Aopa        1     S     5      1    44  
     Aopa        1     S     5      1    44  
     Aopa        1     S     5      1    44  
     Aopa        1     S     5      1    44  
     Aopa        1     S     5      1    46  
     Aopa        2     A     6      1    24  
     Aopa        2     A     6      1    24  
     Aopa        2     A     6      1    36  
     Aopa        2     A     6      1    37  
     Aopa        2     A     6      1    41  
     Aopa        2     A     6      1    41  
     Aopa        2     A     6      1    41  
     Aopa        2     A     6      1    41  
     Aopa        2     A     6      1    41  
     Aopa        2     A     6      0    42  
     Aopa        2     A     6      1    42  
     Aopa        2     A     6      1    42  
     Aopa        2     A     6      1    42  
     Aopa        2     A     6      1    42  
     Aopa        2     A     6      1    42  
     Aopa        2     A     6      1    42  
     Aopa        2     A     6      1    44  
     Aopa        2     A     6      1    44  
     Aopa        2     A     6      1    49  
     Aopa        2     A     6      1    52  
     Aopa        2     L     8      1    24  
     Aopa        2     L     8      1    25  
     Aopa        2     L     8      1    25  
     Aopa        2     L     8      1    25  
     Aopa        2     L     8      1    25  
     Aopa        2     L     8      1    29  
     Aopa        2     L     8      1    29  
     Aopa        2     L     8      1    29  
     Aopa        2     L     8      1    30  
     Aopa        2     L     8      1    30  
     Aopa        2     L     8      1    30  
     Aopa        2     L     8      1    30  
     Aopa        2     L     8      1    31  
     Aopa        2     L     8      1    31  
     Aopa        2     L     8      1    31  
     Aopa        2     L     8      1    31  
     Aopa        2     L     8      1    31  
     Aopa        2     L     8      1    31  
     Aopa        2     L     8      1    31  
     Aopa        2     L     8      1    31  
     Aopa        2     L     8      1    31  
     Aopa        2     L     8      1    31  
     Aopa        2     L     8      1    31  
     Aopa        2     L     8      1    34  
     Aopa        2     M     9      1    22  
     Aopa        2     M     9      1    22  
     Aopa        2     M     9      1    22  
     Aopa        2     M     9      1    22  
     Aopa        2     M     9      1    22  
     Aopa        2     M     9      1    22  
     Aopa        2     M     9      1    23  
     Aopa        2     M     9      1    23  
     Aopa        2     M     9      1    23  
     Aopa        2     M     9      1    24  
     Aopa        2     M     9      1    24  
     Aopa        2     M     9      1    24  
     Aopa        2     M     9      1    24  
     Aopa        2     M     9      1    24  
     Aopa        2     M     9      1    24  
     Aopa        2     M     9      1    26  
     Aopa        2     M     9      1    26  
     Aopa        2     M     9      1    26  
     Aopa        2     M     9      1    26  
     Aopa        2     M     9      1    26  
     Aopa        2     M     9      1    27  
     Aopa        2     M     9      1    27  
     Aopa        2     M     9      0    56  
     Aopa        2     S    10      1    24  
     Aopa        2     S    10      1    24  
     Aopa        2     S    10      1    25  
     Aopa        2     S    10      1    25  
     Aopa        2     S    10      1    25  
     Aopa        2     S    10      1    25  
     Aopa        2     S    10      1    25  
     Aopa        2     S    10      1    25  
     Aopa        2     S    10      1    25  
     Aopa        2     S    10      1    25  
     Aopa        2     S    10      1    25  
     Aopa        2     S    10      1    31  
     Aopa        2     S    10      1    31  
     Aopa        2     S    10      1    31  
     Aopa        2     S    10      1    41  
     Aopa        2     S    10      1    42  
     Aopa        2     S    10      1    42  
     Aopa        2     S    10      1    42  
     Aopa        2     S    10      1    42  
     Aopa        2     S    10      1    42  
     Aopa        2     S    10      1    42  
     Aopa        2     S    10      1    42  
     Aopa        2     S    10      1    43  
     Aopa        2     S    10      1    43  
     Aopa        2     S    10      1    43  
     Aopa        2     S    10      1    43  
     Aopa        2     S    10      1    44  
     Aopa        3     A    11      0    11  
     Aopa        3     A    11      0    15  
     Aopa        3     A    11      0    15  
     Aopa        3     A    11      0    15  
     Aopa        3     A    11      0    15  
     Aopa        3     A    11      0    17  
     Aopa        3     A    11      0    17  
     Aopa        3     A    11      0    17  
     Aopa        3     A    11      0    17  
     Aopa        3     A    11      0    17  
     Aopa        3     A    11      0    17  
     Aopa        3     A    11      0    24  
     Aopa        3     A    11      1    24  
     Aopa        3     A    11      0    33  
     Aopa        3     A    11      0    33  
     Aopa        3     A    11      0    33  
     Aopa        3     A    11      0    34  
     Aopa        3     A    11      0    35  
     Aopa        3     A    11      0    37  
     Aopa        3     A    11      0    37  
     Aopa        3     L    13      1    23  
     Aopa        3     L    13      1    23  
     Aopa        3     L    13      1    23  
     Aopa        3     L    13      1    23  
     Aopa        3     L    13      1    24  
     Aopa        3     L    13      1    24  
     Aopa        3     L    13      1    24  
     Aopa        3     L    13      1    27  
     Aopa        3     L    13      1    28  
     Aopa        3     L    13      1    28  
     Aopa        3     L    13      1    29  
     Aopa        3     L    13      1    29  
     Aopa        3     L    13      1    30  
     Aopa        3     L    13      1    30  
     Aopa        3     L    13      1    30  
     Aopa        3     L    13      1    30  
     Aopa        3     L    13      1    30  
     Aopa        3     L    13      1    30  
     Aopa        3     L    13      1    31  
     Aopa        3     L    13      1    31  
     Aopa        3     L    13      1    31  
     Aopa        3     L    13      1    31  
     Aopa        3     L    13      1    31  
     Aopa        3     L    13      1    34  
     Aopa        3     L    13      1    55  
     Aopa        3     M    14      0     8  
     Aopa        3     M    14      1    25  
     Aopa        3     M    14      1    25  
     Aopa        3     M    14      1    25  
     Aopa        3     M    14      1    25  
     Aopa        3     M    14      1    25  
     Aopa        3     M    14      1    25  
     Aopa        3     M    14      1    25  
     Aopa        3     M    14      1    25  
     Aopa        3     M    14      1    25  
     Aopa        3     M    14      1    28  
     Aopa        3     M    14      1    28  
     Aopa        3     M    14      1    28  
     Aopa        3     M    14      1    28  
     Aopa        3     M    14      1    28  
     Aopa        3     M    14      1    28  
     Aopa        3     M    14      1    29  
     Aopa        3     M    14      1    29  
     Aopa        3     M    14      1    29  
     Aopa        3     M    14      1    29  
     Aopa        3     M    14      1    29  
     Aopa        3     M    14      1    29  
     Aopa        3     M    14      1    29  
     Aopa        3     M    14      0    33  
     Aopa        3     M    14      0    33  
     Aopa        3     S    15      1    25  
     Aopa        3     S    15      1    38  
     Aopa        3     S    15      1    38  
     Aopa        3     S    15      1    39  
