 litter group   h   n  s
      1     1  4.1 10  1
      2     1  3.2 11  4
      3     1  4.7 12  9
      4     1  3.5  4  4
      5     1  3.2 10 10
      6     1  5.9 11  9
      7     1  4.7  9  9
      8     1  4.7 11 11
      9     1  3.5 10 10
     10     1  4.8 10  7
     11     1  4.3 12 12
     12     1  4.1 10  9
     13     1  3.2  8  8
     14     1  6.3 11  9
     15     1  4.3  6  4
     16     1  3.1  9  7
     17     1  3.6 14 14
     18     1  4.1 12  7
     19     1  4.8 11  9
     20     1  4.7 13  8
     21     1  4.8 14  5
     22     1  6.7 10 10
     23     1  5.2 12 10
     24     1  4.3 13  8
     25     1  3.9 10 10
     26     1  6.3 14  3
     27     1  4.4 13 13
     28     1  5.2  4  3
     29     1  3.9  8  8
     30     1  7.7 13  5
     31     1  5.0 12 12
     32     2  8.6 10  1
     33     2 11.1  3  1
     34     2  7.2 13  1
     35     2  8.8 12  0
     36     2  9.3 14  4
     37     2  9.3  9  2
     38     2  8.5 13  2
     39     2  9.4 16  1
     40     2  6.9 11  0
     41     2  8.9  4  0
     42     2 11.1  1  0
     43     2  9.0 12  0
     44     3 11.2  8  0
     45     3 11.5 11  1
     46     3 12.6 14  0
     47     3  9.5 14  1
     48     3  9.8 11  0
     49     4 16.6  3  0
     50     4 14.5 13  0
     51     4 15.4  9  2
     52     4 14.5 17  2
     53     4 14.6 15  0
     54     4 16.5  2  0
     55     4 14.8 14  1
     56     4 13.6  8  0
     57     4 14.5  6  0
     58     4 12.4 17  0
