race                         distance  climb   time 
GreenmantleNewYearDash     2.5	  0.650     16.08 
Carnethy5HillRace           6     2.500     48.35   
CraigDunainHillRace         6     0.900     33.65   
BenRhaHillRace             7.5     0.800     45.60 
BenLomondHillRace           8      3.070    62.27 
GoatfellHillRace             8    2.866    73.22 
BensofJuraFellRace         16      7.500    204.62 
CairnpappleHillRace          6     0.800     36.37 
ScoltyHillRace               5     0.800     29.75 
TraprainLawRace              6     0.650     39.75 
LairigGhruFunRun           28      2.100    192.67 
DollarHillRace              5     2.000    43.05 
LomondsofFifeHillRace     9.5     2.200   65.00 
CairnTableHillRace          6     0.500     44.13 
EildonTwoHillsRace         4.5    1.500    26.93 
CairngormHillRace           10    3.000     72.25 
SevenHillsofEdinburghRace  14     2.200    98.42 
KnockHillRace                3    0.350     16.12 
BlackHillRace               4.5    1.000     17.42 
CreagBeagHillRace           5.5    0.600     32.57 
KildoonHillRace               3    0.300     15.95 
MeallAntSuidheHillRace    3.5     1.500      27.90 
HalfBenNevis                 6     2.200     47.65  
CowHillRace                  2     0.900     17.93 
NorthBerwickLawRace         3      0.600     18.68 
CreagDubhHillRace           4      2.000    26.22 
BurnswarkHillRace            6     0.800     34.43 
LargoLawRace                 5      0.950     28.57 
CriffelHillRace             6.5     1.750     50.50 
AchmonyHillRace              5      0.500     20.95 
BenNevisRace                 10     4.400     85.58 
KnockfarrelHillRace           6     0.600     32.38 
TwoBreweriesFellRace         18     5.200    170.25 
CockleroiHillRace            4.5    0.850     28.10  
MoffatChase                   20    5.000    159.83  
