            school  class     SC    TV   PTHK    y
             403    403101     1     0     2     3
             403    403101     1     0     4     4
             403    403101     1     0     4     3
             403    403101     1     0     3     4
             403    403101     1     0     3     4
             403    403101     1     0     4     3
             403    403101     1     0     2     2
             403    403101     1     0     4     4
             403    403101     1     0     5     5
             403    403101     1     0     3     4
             403    403101     1     0     3     3
             403    403101     1     0     3     4
             403    403101     1     0     1     3
             403    403101     1     0     2     4
             403    403101     1     0     2     2
             403    403101     1     0     1     4
             403    403101     1     0     4     4
             403    403101     1     0     3     3
             403    403101     1     0     0     3
             403    403101     1     0     3     4
             403    403102     1     0     0     2
             403    403102     1     0     1     5
             403    403102     1     0     5     3
             404    404101     1     1     1     3
             404    404101     1     1     2     4
             404    404101     1     1     4     2
             404    404101     1     1     3     3
             404    404101     1     1     1     2
             404    404101     1     1     1     1
             404    404101     1     1     2     3
             404    404101     1     1     0     5
             404    404101     1     1     1     2
             404    404101     1     1     2     3
             404    404101     1     1     2     4
             404    404102     1     1     1     3
             404    404102     1     1     1     1
             404    404102     1     1     0     0
             404    404102     1     1     4     4
             404    404102     1     1     1     5
             404    404102     1     1     2     3
             404    404102     1     1     1     3
             404    404102     1     1     2     4
             404    404102     1     1     2     2
             404    404103     1     1     2     3
             404    404103     1     1     1     2
             404    404103     1     1     2     2
             404    404103     1     1     1     3
             404    404103     1     1     1     3
             193    193101     0     0     1     2
             193    193101     0     0     3     2
             193    193101     0     0     0     3
             193    193101     0     0     3     2
             193    193101     0     0     1     1
             193    193101     0     0     2     2
             193    193101     0     0     3     4
             193    193101     0     0     3     2
             193    193101     0     0     3     3
             193    193101     0     0     1     3
             193    193101     0     0     5     1
             193    193101     0     0     1     2
             193    193101     0     0     3     1
             193    193101     0     0     2     2
             193    193101     0     0     0     1
             193    193101     0     0     3     4
             193    193101     0     0     4     3
             193    193101     0     0     2     5
             193    193101     0     0     2     4
             193    193101     0     0     3     1
             193    193101     0     0     2     3
             193    193101     0     0     3     3
             193    193101     0     0     1     2
             193    193101     0     0     2     4
             193    193101     0     0     0     3
             193    193101     0     0     3     2
             194    194101     0     0     3     1
             194    194101     0     0     1     2
             194    194101     0     0     2     3
             194    194101     0     0     2     3
             194    194101     0     0     0     1
             194    194101     0     0     0     3
             194    194101     0     0     4     2
             194    194101     0     0     2     2
             194    194101     0     0     1     3
             194    194101     0     0     1     2
             194    194101     0     0     1     1
             194    194102     0     0     2     3
             194    194102     0     0     4     4
             194    194102     0     0     4     3
             194    194102     0     0     2     3
             194    194102     0     0     0     0
             194    194102     0     0     4     4
             194    194102     0     0     4     2
             194    194102     0     0     2     3
             194    194102     0     0     0     2
             194    194102     0     0     4     2
             194    194103     0     0     2     2
             194    194103     0     0     2     2
             194    194103     0     0     2     2
             194    194103     0     0     2     0
             194    194103     0     0     3     5
             194    194103     0     0     2     0
             194    194103     0     0     2     4
             194    194103     0     0     0     0
             194    194103     0     0     0     4
             194    194103     0     0     2     2
             194    194103     0     0     1     1
             194    194103     0     0     3     1
             194    194103     0     0     2     0
             194    194103     0     0     5     1
             194    194103     0     0     1     1
             194    194104     0     0     1     1
             194    194104     0     0     4     4
             194    194104     0     0     3     4
             194    194104     0     0     3     4
             194    194104     0     0     1     3
             194    194104     0     0     5     4
             194    194104     0     0     1     2
             194    194104     0     0     4     3
             194    194104     0     0     2     1
             194    194104     0     0     2     1
             194    194104     0     0     2     1
             194    194104     0     0     2     3
             194    194105     0     0     2     2
             194    194105     0     0     2     2
             194    194105     0     0     2     1
             194    194105     0     0     3     2
             194    194105     0     0     2     2
             194    194105     0     0     4     2
             194    194105     0     0     3     5
             194    194105     0     0     0     4
             194    194105     0     0     0     1
             194    194105     0     0     1     5
             194    194105     0     0     2     3
             194    194105     0     0     1     2
             194    194106     0     0     3     2
             194    194106     0     0     2     2
             194    194106     0     0     2     5
             194    194106     0     0     2     4
             194    194106     0     0     5     4
             194    194106     0     0     3     5
             194    194106     0     0     3     5
             194    194106     0     0     3     3
             194    194106     0     0     1     0
             194    194106     0     0     2     5
             196    196101     1     0     3     4
             196    196101     1     0     3     4
             196    196101     1     0     4     2
             196    196101     1     0     5     4
             196    196101     1     0     1     3
             196    196101     1     0     2     2
             196    196101     1     0     4     4
             196    196101     1     0     2     1
             196    196101     1     0     4     4
             196    196101     1     0     1     2
             196    196101     1     0     2     4
             196    196101     1     0     3     4
             196    196101     1     0     2     3
             196    196101     1     0     4     3
             196    196101     1     0     3     1
             196    196101     1     0     2     5
             196    196101     1     0     2     3
             196    196101     1     0     2     3
             196    196101     1     0     3     3
             196    196101     1     0     2     3
             196    196101     1     0     3     3
             196    196102     1     0     4     4
             196    196102     1     0     3     3
             196    196102     1     0     3     3
             196    196102     1     0     0     3
             196    196102     1     0     0     2
             196    196102     1     0     3     4
             196    196102     1     0     4     4
             196    196102     1     0     2     4
             196    196102     1     0     0     3
             196    196102     1     0     1     4
             197    197101     0     0     2     5
             197    197101     0     0     1     2
             197    197101     0     0     2     5
             197    197101     0     0     2     2
             197    197101     0     0     3     2
             197    197101     0     0     4     3
             197    197101     0     0     1     2
             197    197101     0     0     1     1
             197    197101     0     0     3     3
             197    197101     0     0     0     0
             197    197101     0     0     1     1
             197    197101     0     0     3     1
             197    197101     0     0     3     4
             197    197101     0     0     5     5
             197    197101     0     0     0     2
             197    197101     0     0     4     3
             197    197101     0     0     3     2
             197    197102     0     0     1     4
             197    197102     0     0     0     1
             197    197102     0     0     2     1
             197    197102     0     0     4     6
             197    197102     0     0     2     2
             197    197102     0     0     3     5
             197    197102     0     0     3     3
             197    197102     0     0     3     1
             197    197102     0     0     3     4
             197    197102     0     0     1     2
             197    197102     0     0     3     2
             197    197102     0     0     2     1
             197    197102     0     0     2     1
             197    197102     0     0     3     3
             197    197102     0     0     2     2
             197    197102     0     0     2     1
             197    197102     0     0     2     1
             197    197102     0     0     1     1
             197    197102     0     0     2     1
             197    197103     0     0     0     4
             197    197103     0     0     1     3
             197    197104     0     0     1     1
             197    197104     0     0     2     3
             197    197104     0     0     1     4
             197    197104     0     0     2     2
             198    198101     1     1     1     2
             198    198101     1     1     2     4
             198    198101     1     1     2     4
             198    198101     1     1     4     5
             198    198101     1     1     1     3
             198    198101     1     1     3     5
             198    198101     1     1     5     3
             198    198101     1     1     3     1
             198    198101     1     1     2     4
             198    198101     1     1     2     4
             198    198101     1     1     3     3
             198    198101     1     1     3     4
             198    198101     1     1     3     1
             198    198101     1     1     0     0
             198    198101     1     1     2     4
             198    198101     1     1     3     4
             198    198101     1     1     3     1
             198    198101     1     1     3     4
             198    198101     1     1     1     2
             198    198101     1     1     2     4
             198    198101     1     1     5     1
             198    198102     1     1     3     3
             198    198102     1     1     2     2
             198    198102     1     1     1     4
             198    198102     1     1     0     3
             198    198102     1     1     3     4
             198    198102     1     1     2     4
             198    198102     1     1     1     2
             198    198102     1     1     0     2
             198    198102     1     1     1     2
             198    198102     1     1     2     1
             198    198102     1     1     2     1
             198    198102     1     1     2     4
             198    198102     1     1     1     2
             198    198102     1     1     1     2
             198    198102     1     1     3     1
             198    198102     1     1     2     2
             198    198103     1     1     2     2
             198    198103     1     1     0     1
             198    198103     1     1     3     2
             198    198103     1     1     2     3
             198    198103     1     1     1     3
             198    198103     1     1     5     4
             198    198103     1     1     1     3
             198    198103     1     1     2     2
             198    198103     1     1     2     2
             198    198103     1     1     1     3
             198    198103     1     1     1     1
             198    198103     1     1     5     1
             198    198103     1     1     1     0
             198    198103     1     1     1     2
             198    198103     1     1     4     3
             199    199101     0     1     1     0
             199    199101     0     1     4     4
             199    199101     0     1     3     2
             199    199101     0     1     0     1
             199    199101     0     1     3     2
             199    199101     0     1     2     1
             199    199101     0     1     2     3
             199    199101     0     1     1     3
             199    199101     0     1     0     2
             199    199101     0     1     1     3
             199    199101     0     1     1     2
             199    199101     0     1     1     4
             199    199101     0     1     2     2
             199    199102     0     1     1     0
             199    199102     0     1     3     1
             199    199103     0     1     2     3
             199    199103     0     1     2     2
             199    199103     0     1     1     0
             199    199103     0     1     3     3
             199    199103     0     1     2     1
             199    199103     0     1     3     5
             199    199103     0     1     1     1
             199    199103     0     1     1     2
             199    199103     0     1     1     5
             199    199103     0     1     2     2
             199    199103     0     1     3     3
             199    199103     0     1     1     1
             199    199103     0     1     4     2
             199    199103     0     1     2     4
             199    199104     0     1     1     1
             199    199104     0     1     0     1
             199    199104     0     1     2     3
             199    199104     0     1     2     3
             199    199104     0     1     2     1
             199    199104     0     1     1     2
             199    199104     0     1     2     3
             199    199104     0     1     4     1
             199    199104     0     1     2     3
             199    199104     0     1     0     2
             199    199104     0     1     2     1
             199    199104     0     1     2     3
             199    199104     0     1     2     1
             199    199105     0     1     0     1
             199    199106     0     1     2     4
             199    199106     0     1     0     2
             199    199106     0     1     3     2
             199    199106     0     1     4     1
             199    199106     0     1     2     2
             199    199106     0     1     1     4
             199    199106     0     1     0     3
             199    199106     0     1     1     4
             199    199106     0     1     3     2
             199    199106     0     1     1     1
             199    199106     0     1     1     2
             199    199106     0     1     3     5
             401    401101     1     1     3     4
             401    401101     1     1     1     3
             401    401101     1     1     3     1
             401    401101     1     1     3     3
             401    401101     1     1     1     2
             401    401101     1     1     2     3
             401    401101     1     1     1     3
             401    401101     1     1     0     3
             401    401101     1     1     3     5
             401    401101     1     1     1     3
             401    401101     1     1     3     3
             401    401101     1     1     5     3
             401    401101     1     1     2     4
             401    401101     1     1     2     5
             401    401101     1     1     0     2
             401    401101     1     1     0     1
             401    401101     1     1     2     5
             401    401101     1     1     2     4
             401    401102     1     1     2     4
             401    401102     1     1     5     3
             401    401102     1     1     3     4
             401    401102     1     1     3     1
             401    401102     1     1     0     2
             401    401102     1     1     2     3
             401    401102     1     1     4     3
             401    401102     1     1     2     4
             401    401102     1     1     3     2
             401    401102     1     1     2     4
             401    401102     1     1     2     3
             401    401102     1     1     1     4
             401    401102     1     1     4     3
             401    401102     1     1     2     1
             401    401102     1     1     2     2
             401    401102     1     1     5     5
             401    401102     1     1     2     4
             401    401102     1     1     2     3
             401    401102     1     1     2     3
             401    401102     1     1     3     5
             401    401102     1     1     3     3
             402    402101     0     0     2     2
             402    402101     0     0     3     4
             402    402101     0     0     3     4
             402    402101     0     0     2     2
             402    402101     0     0     4     2
             402    402101     0     0     2     3
             402    402101     0     0     2     2
             402    402101     0     0     3     2
             402    402101     0     0     2     3
             402    402101     0     0     4     5
             402    402101     0     0     1     2
             402    402101     0     0     1     4
             402    402101     0     0     2     2
             402    402101     0     0     2     4
             402    402101     0     0     4     2
             402    402101     0     0     1     2
             402    402101     0     0     5     1
             402    402102     0     0     0     3
             402    402102     0     0     2     2
             402    402102     0     0     2     2
             402    402102     0     0     2     1
             402    402102     0     0     3     2
             402    402102     0     0     2     1
             402    402102     0     0     1     0
             402    402102     0     0     2     1
             402    402102     0     0     3     1
             402    402102     0     0     3     3
             402    402102     0     0     2     1
             402    402102     0     0     1     3
             402    402102     0     0     4     4
             402    402102     0     0     4     4
             402    402102     0     0     6     7
             402    402102     0     0     2     1
             405    405101     0     1     3     3
             405    405101     0     1     2     4
             405    405101     0     1     1     3
             405    405101     0     1     3     2
             405    405101     0     1     3     2
             405    405101     0     1     3     2
             405    405101     0     1     3     4
             405    405101     0     1     1     1
             405    405101     0     1     2     3
             405    405101     0     1     2     4
             405    405101     0     1     2     2
             405    405101     0     1     2     1
             405    405101     0     1     5     5
             405    405101     0     1     2     4
             405    405101     0     1     4     4
             405    405102     0     1     2     2
             405    405102     0     1     0     2
             405    405102     0     1     3     2
             405    405102     0     1     1     1
             405    405102     0     1     1     0
             405    405102     0     1     4     5
             405    405102     0     1     4     4
             405    405102     0     1     2     1
             405    405102     0     1     5     4
             405    405102     0     1     1     1
             405    405102     0     1     1     0
             405    405102     0     1     2     3
             405    405102     0     1     1     1
             405    405102     0     1     1     1
             405    405102     0     1     2     1
             405    405102     0     1     3     2
             405    405103     0     1     2     2
             405    405103     0     1     2     1
             405    405103     0     1     2     3
             405    405103     0     1     5     4
             405    405103     0     1     4     1
             405    405103     0     1     4     4
             405    405103     0     1     2     4
             405    405103     0     1     2     1
             405    405103     0     1     4     6
             405    405103     0     1     2     3
             405    405103     0     1     3     3
             405    405103     0     1     0     3
             405    405103     0     1     2     4
             405    405103     0     1     2     1
             405    405103     0     1     1     1
             405    405103     0     1     0     2
             405    405103     0     1     1     4
             405    405103     0     1     4     3
             405    405103     0     1     2     2
             405    405103     0     1     1     3
             405    405103     0     1     2     1
             407    407101     0     1     1     4
             407    407101     0     1     1     3
             407    407101     0     1     2     1
             407    407101     0     1     4     5
             407    407101     0     1     1     3
             407    407101     0     1     3     4
             407    407101     0     1     2     4
             407    407101     0     1     3     5
             407    407101     0     1     1     5
             407    407101     0     1     0     4
             407    407101     0     1     1     4
             407    407101     0     1     3     4
             407    407101     0     1     3     4
             407    407101     0     1     0     3
             407    407101     0     1     2     5
             407    407101     0     1     1     2
             407    407101     0     1     1     3
             407    407101     0     1     1     0
             407    407101     0     1     3     4
             407    407101     0     1     2     2
             407    407101     0     1     3     3
             407    407102     0     1     1     3
             407    407102     0     1     2     2
             407    407102     0     1     1     1
             407    407102     0     1     3     4
             407    407102     0     1     2     4
             407    407102     0     1     0     3
             407    407102     0     1     2     5
             407    407102     0     1     2     5
             407    407102     0     1     2     3
             407    407102     0     1     2     3
             407    407102     0     1     2     5
             407    407102     0     1     2     2
             407    407102     0     1     1     2
             407    407102     0     1     1     3
             407    407102     0     1     5     2
             407    407102     0     1     2     3
             407    407102     0     1     2     1
             407    407102     0     1     2     4
             407    407102     0     1     1     3
             407    407102     0     1     1     1
             407    407102     0     1     2     2
             407    407102     0     1     0     1
             407    407102     0     1     1     4
             407    407102     0     1     1     4
             407    407102     0     1     0     2
             407    407102     0     1     3     4
             407    407102     0     1     2     3
             407    407103     0     1     3     1
             407    407103     0     1     4     3
             407    407103     0     1     2     4
